danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,chorus_hit,sections,target
0.526,0.0921,4,-14.569,0,0.0386,0.918,0.329,0.116,0.292,115.388,452333,4,37.63463,19,0
0.359,0.225,7,-12.624,1,0.0336,0.9,0.000328,0.111,0.165,130.443,228360,4,23.99633,11,0
0.821,0.424,7,-11.753,1,0.05,0.925,0.0,0.364,0.955,119.675,149200,4,36.85945,7,0
0.727,0.436,6,-11.862,0,0.0281,0.0492,0.00338,0.0686,0.381,124.021,307133,4,24.0258,12,1
0.64,0.361,3,-10.099,1,0.253,0.794,0.0,0.104,0.613,139.457,131227,4,56.23845,5,0
0.321,0.435,11,-10.942,1,0.0341,0.256,1.06e-05,0.086,0.174,158.465,298133,3,45.70894,18,1
0.869,0.68,1,-6.233,1,0.318,0.0416,1.12e-06,0.0914,0.815,85.519,268400,4,101.41937,8,1
0.373,0.997,11,-5.442,0,0.213,0.000402,0.377,0.474,0.182,106.049,159707,4,18.80157,7,0
0.642,0.419,1,-12.609,1,0.0316,0.481,0.0,0.0523,0.755,95.6,279840,4,46.68056,10,1
0.849,0.694,6,-14.43,0,0.0642,0.0232,0.00252,0.0524,0.932,118.309,229307,4,34.91088,9,1
0.802,0.437,8,-12.955,1,0.0733,0.712,0.87,0.192,0.981,112.5,254695,4,77.394,11,0
0.633,0.795,0,-7.617,1,0.0319,0.054,8.83e-05,0.34,0.833,103.504,250813,4,72.89685,10,1
0.541,0.726,0,-5.582,1,0.0406,0.277,0.0,0.219,0.763,114.092,194809,3,29.23983,10,0
0.452,0.715,4,-8.245,0,0.0969,0.78,0.0,0.0681,0.866,120.445,90600,4,22.89757,6,0
0.532,0.132,8,-15.891,1,0.047,0.865,0.159,0.166,0.332,89.321,309000,4,44.3113,13,0
0.847,0.529,4,-7.339,0,0.261,0.229,0.0,0.256,0.945,160.033,253467,4,32.06404,14,0
0.12,0.368,4,-17.083,0,0.038,0.15,0.346,0.116,0.084,79.353,196227,5,28.59315,9,0
0.477,0.533,10,-11.049,1,0.0408,0.591,0.00685,0.139,0.18,162.368,266560,4,26.49111,12,1
0.826,0.47,1,-11.804,1,0.0646,0.225,0.951,0.111,0.174,106.099,311133,4,75.99269,10,0
0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,84267,4,51.06891,4,0
0.351,0.615,7,-7.621,1,0.0451,0.206,0.0,0.985,0.337,127.798,271107,3,58.57055,10,1
0.496,0.869,9,-7.754,1,0.118,0.179,4e-06,0.328,0.559,115.275,254240,4,31.46344,7,0
0.633,0.647,9,-3.691,1,0.122,0.281,0.285,0.311,0.63,94.824,213147,4,39.46883,11,0
0.581,0.637,7,-6.039,1,0.0273,0.0146,1.15e-05,0.103,0.608,112.437,195987,4,34.71079,10,1
0.497,0.93,9,-3.902,1,0.0444,0.0112,0.0,0.354,0.47,113.086,195933,4,21.81515,10,1
0.632,0.852,0,-8.265,1,0.037,0.0235,0.122,0.056,0.559,125.009,270187,4,39.4452,15,0
0.527,0.584,10,-7.965,1,0.0314,0.0878,0.000103,0.117,0.271,114.941,279413,4,29.41867,15,1
0.316,0.499,9,-7.899,1,0.0298,0.0108,1.81e-05,0.126,0.403,174.782,320467,4,38.6325,15,1
0.892,0.488,3,-9.748,0,0.041,0.0316,0.0,0.0284,0.786,101.89,228902,4,41.96758,10,1
0.688,0.519,2,-8.629,1,0.0421,0.114,0.0,0.0565,0.385,124.125,250973,4,35.78429,8,1
0.595,0.772,7,-10.869,1,0.0263,0.0463,4.81e-05,0.196,0.679,129.044,241440,4,74.43606,10,0
0.381,0.968,4,-5.287,1,0.0992,0.00532,0.0,0.607,0.433,143.099,162333,4,41.28468,9,0
0.391,0.979,9,-5.537,1,0.0936,0.00922,3.43e-06,0.533,0.184,112.928,283907,4,24.75128,13,0
0.862,0.595,5,-4.655,1,0.121,0.0152,0.000343,0.104,0.502,103.168,393307,4,40.91468,13,1
0.645,0.484,11,-11.233,0,0.0396,0.0211,3.88e-06,0.0495,0.52,146.897,323333,4,44.29664,12,1
0.614,0.419,1,-10.433,1,0.308,0.0226,0.0,0.0835,0.523,116.056,216493,4,41.32123,9,1
0.65,0.899,2,-4.694,1,0.0331,0.0412,0.0,0.263,0.814,118.245,308000,4,18.28167,16,1
0.464,0.443,10,-14.391,0,0.0361,0.743,0.0773,0.713,0.641,112.944,239707,4,117.39012,5,0
0.684,0.645,0,-5.707,1,0.0272,0.589,0.00432,0.18,0.366,121.995,285000,4,47.447,12,1
0.767,0.521,9,-9.145,1,0.0351,0.247,0.00124,0.303,0.672,124.995,292426,4,30.15971,10,1
0.666,0.803,9,-10.91,0,0.0299,0.00837,0.187,0.304,0.862,121.258,294320,4,49.7856,9,0
0.444,0.479,7,-9.731,1,0.0341,0.0492,2.28e-05,0.236,0.303,140.192,95840,4,25.19804,7,0
0.714,0.686,2,-8.428,0,0.0294,0.0376,0.0043,0.0853,0.842,125.982,290000,4,26.85643,13,1
0.608,0.677,4,-9.951,0,0.0246,0.0058,0.000537,0.266,0.787,114.046,248560,4,42.90858,11,1
0.614,0.928,6,-6.827,1,0.032,0.0081,0.00051,0.025,0.878,133.629,194373,4,29.19663,8,1
0.881,0.874,6,-4.505,1,0.139,0.0175,1.19e-06,0.154,0.858,107.891,227933,4,21.25823,10,1
0.193,0.266,0,-15.888,1,0.0455,0.928,0.91,0.0913,0.0366,115.909,507373,4,40.79516,27,0
0.446,0.896,2,-7.369,1,0.0572,2.46e-05,6.67e-06,0.224,0.263,88.403,236667,4,103.34354,7,0
0.826,0.611,6,-12.571,1,0.0648,0.0336,0.0224,0.0498,0.919,109.801,203360,4,36.84838,9,1
0.612,0.777,0,-10.903,1,0.0403,0.217,0.000454,0.104,0.557,172.412,289997,4,34.60379,15,1
0.716,0.915,10,-8.153,1,0.0343,0.589,0.000871,0.351,0.96,127.074,277432,4,36.1592,8,1
0.2,0.944,8,-11.924,1,0.173,0.0702,0.892,0.975,0.0747,119.548,620560,3,108.04803,22,0
0.83,0.712,11,-7.447,1,0.0446,0.0105,0.24,0.049,0.814,103.141,211160,4,56.5586,9,1
0.456,0.752,6,-6.714,1,0.0302,0.672,0.0,0.329,0.689,143.877,166040,4,51.4643,7,0
0.616,0.12,2,-21.464,1,0.0411,0.984,0.858,0.35,0.508,122.807,231200,3,28.2536,11,0
0.729,0.581,5,-8.235,0,0.18,0.0777,3.81e-06,0.696,0.508,74.038,314680,4,46.15646,11,1
0.848,0.663,9,-7.078,0,0.159,0.124,0.0293,0.0737,0.833,137.953,265667,4,57.2324,10,1
0.513,0.258,9,-13.636,1,0.0392,0.976,0.0,0.173,0.495,75.045,136867,4,20.93505,3,0
0.496,0.47,9,-10.193,0,0.0703,0.513,0.58,0.101,0.48,163.029,495093,3,51.02723,20,0
0.339,0.927,3,-8.474,1,0.093,4.87e-06,0.813,0.353,0.711,135.266,118000,4,49.01178,6,0
0.561,0.927,7,-9.808,1,0.0586,0.0886,0.0133,0.343,0.11,93.209,264827,4,44.58498,7,1
0.567,0.0341,0,-17.895,0,0.0525,0.989,0.326,0.0878,0.391,82.881,208469,4,26.36285,9,0
0.463,0.762,7,-7.587,1,0.033,8.95e-06,0.896,0.0748,0.849,98.556,165433,4,42.54899,6,0
