PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,target
-91002.39191481254,-5.9984372288176635,7.867713728511713,4.1685282356129845,0.26585394576837046,0.3524695364789067,-0.13103562500864316,0.014154089990453986,0.021136444492718804,-0.023122946139263967,0
137730.6078131997,14.721910001245506,-3.260453803927757,4.360583022366729,0.30286136091357585,0.08265728422322868,-0.5282907538528487,-0.0333803505821327,-0.1167514512515911,-0.04007323477350007,1
-12575.391720025724,-27.226473458038683,1.6535888449885363,5.274981967996991,0.2451233518537183,-0.30690386976869966,-0.3957657206603113,0.0923589258234014,-0.07555310364161118,-0.024709729562776457,0
126090.60807417048,-5.59022323669365,3.7748580415756336,0.29485965295051975,0.34417679977026866,-0.39368987993818416,0.03173677844539789,0.6541314632778904,0.5164930004978622,0.0847965782981771,0
180810.60764067902,34.01624589462715,1.5573957315970972,1.3152616214654715,0.3453669565803129,0.43069411912563405,0.457959740402032,0.2688032929737496,-0.06428255057050923,0.0067922465803735566,0
-184175.39254498974,47.151594677940594,-1.2238884894732514,3.199129244553066,0.215999598751539,-0.14167356658505045,0.07305053912783345,0.08893537184215972,0.3566256433008756,-0.05736978553045515,0
65197.607317194226,63.8137478595876,1.6534292704913605,-5.764559811010173,-0.5339661241261878,0.3985403717231382,0.14439995590439245,0.23322426185248898,-0.18722614872438606,0.11791106136930393,1
-70682.39186222779,-13.914125038171091,2.082933559898128,1.2194542420686159,-0.6872286822388468,0.06390323004760796,0.2066219436614162,-0.37570508164965777,-0.010014981802758461,0.019420521155248394,1
-31109.391705110498,-25.650636338607868,6.896121045900035,2.212449327099836,0.3275410885820499,0.20928656835198772,-0.21757849208378238,-0.2886409879601717,0.011660826065809924,0.017719945250227437,1
-168855.39285750967,77.68903090110685,0.5802399319444073,-0.8293067705797552,0.29160289744221585,-0.19677590731984743,0.10592882939835334,-0.20486184916661823,0.018606734764365373,-0.15584916527931997,0
40730.60803492307,-5.587662359533063,-1.5451171316784884,1.2947047691663418,-0.6689989295384441,0.20023217444448005,0.20146595765481,0.050853081322647216,0.043007194749358414,-0.14832920053333976,1
26224.608044106288,-5.680257878850919,-0.20416399448552058,-1.7033911658913077,0.3883130206157811,0.15797996185318372,0.2968119071321463,-0.01923092444671597,0.01654538988347259,-0.06652109543949586,0
-140975.39153974783,-35.35433223400907,18.569251488499205,5.031902463361468,-0.7648927268158939,0.6647062338144955,0.34353333515549644,-0.19851349242299046,0.42095448897026094,0.04191260559641296,0
-21802.39216014146,12.755932772800142,-1.1135402645222745,-5.741707251086878,-0.5422989772798913,0.011056650081889595,0.11948868334399977,-0.2577187223077023,0.04323312891603961,-0.0921050814606598,1
112757.60794839854,6.3679769825534125,4.287359388497065,0.2784539703139475,0.39904594023306894,0.18286973125720513,-0.6542042275606529,-0.2198083772520873,0.00382768110381711,-0.025808774410017724,0
